lead_id,lead_indicator,date_part,source,domain,country,customer_group,onboarding,customer_code,visited_learn_more_before_booking,visited_faq,purchases,time_spent,n_visits,bin_source
0,0.0,2024-01-24,organic,.dk,US,2,True,None,0.6243053881878778,0.7643021390665332,0.498777192036089,0.8750108044553873,0.3802743408820501,group1
2,1.0,2024-01-27,signup,.dk,DK,5,False,STWPXVNOWA,0.5462672146643931,0.7643021390665332,0.2759607269221924,0.5095074604926881,0.713014389153844,group1
3,1.0,2024-01-28,li,.cn,US,4,True,HZOKZERLZD,0.7803817352348473,0.7643021390665332,0.3873689594791407,0.46186214926293756,0.713014389153844,socials
4,0.0,2024-01-05,fb,.com,US,9,False,CVLIHCAPZN,0.39019086761742366,0.07643021390665332,0.498777192036089,0.5476484602246288,0.04753429261025626,socials
5,0.0,2024-01-09,fb,.dk,CN,1,True,UZIKGEBJHZ,0.23411452057045418,0.4585812834399199,0.0531442618082959,0.7338667095982889,0.09506858522051251,socials
6,0.0,2024-01-12,li,.dk,DK,2,True,IFNHUGEULO,0.23411452057045418,0.8407323529731865,0.16455249436524416,0.28265860740542514,0.04753429261025626,socials
7,1.0,2024-01-09,li,.com,DK,3,False,KZECUKQTDO,0.23411452057045418,0.0,0.16455249436524416,0.5905708635713629,0.713014389153844,socials
8,1.0,2024-01-18,organic,.dk,US,8,True,DESWCPDDNA,0.0,1.0,0.8330018897069338,0.4734783033300536,0.5704115113230752,group1
9,1.0,2024-01-23,organic,.dk,DK,5,True,ZUOMBTHDOK,0.07803817352348473,0.0,0.3873689594791407,0.44775374980360105,0.4753429261025626,group1
10,0.0,2024-01-11,signup,.dk,DK,4,True,JWLXPVANUM,0.0,0.6878719251598798,0.8330018897069338,0.6454121712765777,0.14260287783076878,group1
12,1.0,2024-01-19,organic,.dk,CN,3,False,DCPRVJRRCO,0.0,0.0,0.3873689594791407,0.7772046444500988,0.6179458039333314,group1
13,0.0,2024-01-22,signup,.dk,DK,6,True,WNKCTHUHYI,0.0,0.3821510695332666,0.6101854245930372,0.1649032092515248,0.19013717044102504,group1
14,0.0,2024-01-25,fb,.com,CN,5,False,ONSZGMJHBQ,1.0,0.0,0.3873689594791407,0.0,0.09506858522051251,socials
15,0.0,2024-01-10,organic,.com,DK,3,True,YGTBRBGUBZ,0.0,0.7643021390665332,0.8330018897069338,0.5212070624969325,0.28520575566153755,group1
16,0.0,2024-01-02,fb,.cn,CN,5,True,TFWWHDORPL,0.15607634704696946,0.22929064171995994,0.3873689594791407,0.36409502299229146,0.14260287783076878,socials
17,1.0,2024-01-07,signup,.com,US,8,False,INIQMTGGOO,0.15607634704696946,0.22929064171995994,0.498777192036089,0.6717920858551198,0.3327400482717938,group1
